,sentence,text1,text2,low,high,more,even_more,less,even_less,property,adjective,antonym?
0,Last week I got into a car accident.,Last week my heart shattered as I was involved in a devastating car crash.,Last week I was involved in a car accident.,Last week I was involved in a car accident.,Last week my heart shattered as I was involved in a devastating car crash.,1,0,1,0,complexity,emotional,0
1,Last week I got into a car accident.,Last week my world crumbled into pieces as I found myself entangled in a horrifying car collision.,Last week I experienced a car accident.,Last week I experienced a car accident.,Last week my world crumbled into pieces as I found myself entangled in a horrifying car collision.,0,1,0,1,complexity,emotional,0
2,Last week I got into a car accident.,Last week I experienced a car accident.,Last week I experienced a car accident.,Last week I experienced a car accident.,Last week I experienced a car accident.,1,0,1,0,complexity,emotionless,1
3,Last week I got into a car accident.,Last week a car accident occurred.,"Last week, I was involved in a car accident.",Last week a car accident occurred.,"Last week, I was involved in a car accident.",0,1,0,1,complexity,emotionless,1
4,She had some amazing news to share but nobody to share it with.,"She had some incredible news to pour her heart out about, but there was no one to confide in.","She had some remarkable news to share, but no one to share it with.","She had some remarkable news to share, but no one to share it with.","She had some incredible news to pour her heart out about, but there was no one to confide in.",1,0,1,0,complexity,emotional,0
5,She had some amazing news to share but nobody to share it with.,"She was bursting with unbelievable news, eager to connect with someone and share her joy, but there was no one available to lend an ear.","She had some extraordinary news to share, yet nobody to share it with.","She had some extraordinary news to share, yet nobody to share it with.","She was bursting with unbelievable news, eager to connect with someone and share her joy, but there was no one available to lend an ear.",0,1,0,1,complexity,emotional,0
6,She had some amazing news to share but nobody to share it with.,"She had remarkable news to communicate, but no one to communicate it with.","She had incredible news to share, but no one to share it with.","She had remarkable news to communicate, but no one to communicate it with.","She had incredible news to share, but no one to share it with.",1,0,1,0,complexity,emotionless,1
7,She had some amazing news to share but nobody to share it with.,"She possessed news of great significance to impart, yet lacked anyone with whom to impart it.","She had extraordinary news to share, yet nobody to share it with.","She possessed news of great significance to impart, yet lacked anyone with whom to impart it.","She had extraordinary news to share, yet nobody to share it with.",0,1,0,1,complexity,emotionless,1
8,Sometime you just have to give up and win by cheating.,"Sometimes, you must surrender and triumph through deceit.","Sometimes, it is necessary to resort to cheating in order to secure a victory.","Sometimes, it is necessary to resort to cheating in order to secure a victory.","Sometimes, you must surrender and triumph through deceit.",1,0,1,0,complexity,emotional,0
9,Sometime you just have to give up and win by cheating.,"At times, you must surrender utterly and seize victory through treacherous deceit.","At times, it may be necessary to employ dishonest tactics in order to achieve success.","At times, it may be necessary to employ dishonest tactics in order to achieve success.","At times, you must surrender utterly and seize victory through treacherous deceit.",0,1,0,1,complexity,emotional,0
10,Sometime you just have to give up and win by cheating.,Sometimes it is necessary to surrender and achieve victory through dishonest means.,"Sometimes, you just have to concede and achieve victory through unconventional means.",Sometimes it is necessary to surrender and achieve victory through dishonest means.,"Sometimes, you just have to concede and achieve victory through unconventional means.",1,0,1,0,complexity,emotionless,1
11,Sometime you just have to give up and win by cheating.,"At times, it becomes necessary to concede and attain success through deceptive tactics.","At times, it may be necessary to relinquish and attain success by relying on deceitful tactics.","At times, it becomes necessary to concede and attain success through deceptive tactics.","At times, it may be necessary to relinquish and attain success by relying on deceitful tactics.",0,1,0,1,complexity,emotionless,1
